fold,epoch,valid_loss,valid_recon_loss,valid_kld_loss, train_loss, train_recon_loss, train_kld_loss, time
0,20,826391.4476821682,826391.4476821682,0.849192273366084,705349.0835678318,705349.0835678318,0.8026205927521979, 3.13055450518926
0,21,816429.9183575237,816429.9183575237,0.8159425131076179,688525.4305761256,688525.4305761256,0.9024006709703619, 3.1421520670255023
0,22,805404.4178391588,805404.4178391588,0.827439866359765,672708.9931501778,672708.9931501778,0.7828577304020594, 3.144739838441213
0,23,799421.3126851303,799421.3126851303,0.8239045973461103,658334.2892106043,658334.2892106043,0.8686742321080506, 3.139411950111389
0,24,789360.8250888626,789360.8250888626,0.832907735921831,644882.1845749407,644882.1845749407,0.8090186622082057, 3.1267220973968506
0,25,784195.5450607227,784195.5450607227,0.8157870347536571,633952.9021771327,633952.9021771327,0.7907251346662146, 3.121994233131409
0,26,779437.8680761256,779437.8680761256,0.88950325567187,624442.8867742891,624442.8867742891,0.7879097026759555, 3.1102940440177917
0,27,776189.4696756516,776189.4696756516,0.8438565442912387,618193.5356561019,618193.5356561019,0.7932374145994536, 3.114251943429311
0,28,775494.4535322867,775494.4535322867,0.8075747041923316,613740.1588788508,613740.1588788508,0.8065709543030409, 3.1199955105781556
0,29,774728.1204457938,774728.1204457938,0.7937012359288067,611665.2486300356,611665.2486300356,0.7830833004902324, 3.1166449189186096
0,30,844688.0055168839,844688.0055168839,0.9007452049014552,703092.8938462677,703092.8938462677,0.7895506089597375, 3.125674859682719
0,31,812657.6357005332,812657.6357005332,0.8067095664846248,688631.5372852489,688631.5372852489,0.89746097964345, 3.1225992520650228
0,32,797939.1332938388,797939.1332938388,0.8210452742592136,658708.975451718,658708.975451718,0.8445552132441111, 3.1077936410903932
0,33,791416.8126851303,791416.8126851303,0.77820226408859,642680.404583827,642680.404583827,0.8300311741335273, 3.1052692890167237
0,34,784898.8289395735,784898.8289395735,0.8236840356017741,632470.2646623222,632470.2646623222,0.8790027810816798, 3.101893393198649
0,35,777753.5634997038,777753.5634997038,0.8196318227691815,621367.6754295024,621367.6754295024,0.8521297215108905, 3.110195076465607
0,36,772542.4344638626,772542.4344638626,0.8077845898990947,609125.8838122038,609125.8838122038,0.8517095982604682, 3.125420622030894
0,37,762830.537359301,762830.537359301,0.8470940787910144,597196.1368113152,597196.1368113152,0.8430678780186233, 3.1152435183525085
0,38,757249.0749407583,757249.0749407583,0.7956287537070247,587508.2200459123,587508.2200459123,0.7493277959154822, 3.0953136483828225
0,39,752258.7821386256,752258.7821386256,0.8306624172564366,577737.8704457938,577737.8704457938,0.8526101921424623, 3.0881748676300047
0,40,747988.7419283176,747988.7419283176,0.8884018507755198,569715.1967565166,569715.1967565166,0.8382669998889003, 3.094500279426575
0,41,743768.406212974,743768.406212974,0.8248761672332389,563369.3360115521,563369.3360115521,0.8858950157601263, 3.0888893524805705
0,42,742980.9655287323,742980.9655287323,0.8402435990730168,558974.5316572867,558974.5316572867,0.8135382230106688, 3.0963395714759825
0,43,743433.178576718,743433.178576718,0.8290966719706759,555605.664617891,555605.664617891,0.8600258370552442, 3.1135234316190084
0,44,742024.1588047986,742024.1588047986,0.8262219162596063,554031.4768957346,554031.4768957346,0.84853976045104, 3.1077802260716756
0,45,803327.2720305094,803327.2720305094,0.8520270598019469,624268.6176688388,624268.6176688388,0.7572023540788211, 3.112760861714681
0,46,778103.4672689573,778103.4672689573,0.8262903320898801,631393.4485707938,631393.4485707938,0.8463833883616596, 3.1104918360710143
0,47,764417.1543986967,764417.1543986967,0.7900777132431337,601245.3587825829,601245.3587825829,0.8187237894118398, 3.1013915300369264
0,48,759470.0869001778,759470.0869001778,0.8140167451829989,587935.1355524289,587935.1355524289,0.776505080382759, 3.1088725129763284
